Altium Designer Pick and Place Locations
C:\college\UROP_S2022\IV_Array\Project Outputs\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       02/05/22
Time:       00:32
Revision:   4b83f298796d76001340c7750ecd63fb13be487c
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                         Height(mil) 
P20        "Header 3"          TopLayer HDR1X3                     1866.177      1987.995      180      "Header, 3-Pin"                                                                                                                                                     0.000       
P19        "Header 3"          TopLayer HDR1X3                     1866.611      1720.991      180      "Header, 3-Pin"                                                                                                                                                     0.000       
J19        FH28H-80S-0.5SH(05) TopLayer FP-FH28H-80S-0_5SH_05-MFG  7702.189      3171.181      270      "CONN FFC BOTTOM 80POS 0.50MM R/A"                                                                                                                                  0.000       
J20        503366-6011         TopLayer MOLX-503366-6011           8749.516      1455.882      90       "0.5 mm Pitch Easy-On(TM) FPC Connector, 2.0 mm Mated Height, Right Angle, SMT, Bottom Contact, 60 Circuits, -20 to 85 degC, ELV and RoHS Compliant, Tape and Reel" 79.213      
SW7        4-1825010-2         TopLayer FP-4-1825010-2-MFG         5796.000      1738.000      0        "SWITCH SLIDE 6PDT 300MA 115V"                                                                                                                                      0.000       
P8         "Header 4X2"        TopLayer HDR2X4                     2589.001      6188.551      90       "Header, 4-Pin, Dual row"                                                                                                                                           0.000       
J18        5015                TopLayer FP-5015-MFG                6345.999      3028.015      180      "PC TEST POINT MINIATURE"                                                                                                                                           0.000       
J17        5015                TopLayer FP-5015-MFG                6345.999      1967.616      180      "PC TEST POINT MINIATURE"                                                                                                                                           0.000       
J16        5015                TopLayer FP-5015-MFG                6345.999      907.216       180      "PC TEST POINT MINIATURE"                                                                                                                                           0.000       
J15        5015                TopLayer FP-5015-MFG                6345.999      2497.816      180      "PC TEST POINT MINIATURE"                                                                                                                                           0.000       
J14        5015                TopLayer FP-5015-MFG                6345.999      1437.416      180      "PC TEST POINT MINIATURE"                                                                                                                                           0.000       
J13        5015                TopLayer FP-5015-MFG                6345.999      377.015       180      "PC TEST POINT MINIATURE"                                                                                                                                           0.000       
