Altium Designer Pick and Place Locations
C:\college\UROP_S2022\Breathalyzer_Power+ICs\Project Outputs\Assembly\Pick Place\_PCB PN_.txt

========================================================================================================================
File Design Information:

Date:       29/03/23
Time:       13:39
Revision:   8828415479fdf9082148245361b49e983f70fdcd
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                        
R12        91k                     TopLayer    RESC2013X60X35ML10T20   -722.912      79.293        0        ""                                                                                                                                 
R13        10k                     TopLayer    RESC2013X60X35NL10T20   -1133.285     212.617       180      "Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"                                
C22        "100 nF"                TopLayer    FP-C0805C-DN-MFG        -872.869      292.176       0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                       
R16        91k                     TopLayer    RESC2013X60X35ML10T20   -1127.379     297.089       180      ""                                                                                                                                 
R9         10k                     TopLayer    RESC2013X60X35NL10T20   -730.058      161.260       0        "Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel"                                
C19        "100 nF"                TopLayer    FP-C0805C-DN-MFG        -1000.794     59.608        180      "CAP CER 0.1UF 50V X7R 0805"                                                                                                       
U7         ADA4522-2ARMZ           TopLayer    FP-RM-8-IPC_C           -932.843      178.003       180      "IC OPAMP ZERO-DRIFT 2 CIRC 8MSOP"                                                                                                 
S1         EG6201                  TopLayer    SW_EG6201               754.652       -567.272      55       "Slide Switch 6PDT Through Hole, Right Angle"                                                                                      
P4         DNP                     TopLayer    61300311021             1184.696      -124.211      80       "THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 3 pins"                                                                  
P3         DNP                     TopLayer    61300311021             -1116.968     -155.085      280      "THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 3 pins"                                                                  
P2         DNP                     TopLayer    61300311021             1045.122      571.082       120      "THT Angled Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 3 pins"                                                                  
